"PC1","PC2","PC3","NoiseCondition"
-0.762531053934175,0.215042513181503,-0.0829983246630404,"Baseline"
-0.762650857669495,0.215153515983541,-0.0828716018621529,"Baseline"
-0.763096966691391,0.21556685327484,-0.0823997285553238,"Baseline"
-0.767966586380371,0.22007874456846,-0.0772488720766314,"Baseline"
-0.754826199291588,0.210044550150514,-0.0813819552273609,"Baseline"
-0.756516403212581,0.211610589562756,-0.0795941363887644,"Baseline"
-0.758974854126007,0.213888439575804,-0.0769937017298473,"Baseline"
-0.761470042037104,0.216200327840405,-0.0743544083890319,"Baseline"
-0.752174963402955,0.20972896067507,-0.0744201036879029,"Baseline"
-0.7450881602014,0.205303646247854,-0.0721499882776859,"Baseline"
-0.742333516727474,0.204892245638568,-0.0652975164567008,"Baseline"
-0.737040342891361,0.202128798304635,-0.0611301835988315,"Baseline"
-0.737477756373136,0.202534078841142,-0.0606675080285876,"Baseline"
-0.731790858684133,0.199405831104425,-0.0569166378901918,"Baseline"
-0.73196825454093,0.199570195238162,-0.0567289968305944,"Baseline"
-0.733118567723837,0.200636004965899,-0.0555122492221289,"Baseline"
-0.725601970213747,0.195812469461354,-0.05369675017623,"Baseline"
-0.726499119814932,0.196643713322928,-0.052747787191281,"Baseline"
-0.731799076625251,0.201554328630968,-0.0471417401862134,"Baseline"
-0.722517865637696,0.195095810377443,-0.0471927669356161,"Baseline"
-0.717747921038744,0.192817155201932,-0.0424719866058278,"Baseline"
-0.713495575641869,0.191018075739227,-0.0372037139925207,"Baseline"
-0.711346300811061,0.191167572630109,-0.0297109114688211,"Baseline"
-0.717252779226614,0.196640153702384,-0.0234633142115118,"Baseline"
-0.201987814333377,0.626866247390662,-0.420200598600496,"Baseline"
-0.160715336482503,0.607893647314606,-0.375960853452862,"Baseline"
-0.117837099058907,0.589574132072132,-0.323653400703269,"Baseline"
-0.124578048120916,0.595819882526206,-0.316523139334571,"Baseline"
-0.131540143935803,0.602270534014171,-0.309158959249924,"Baseline"
-0.111830646141207,0.58829068732201,-0.310474336025231,"Baseline"
-0.110920831292748,0.589588591903908,-0.301670490568423,"Baseline"
-0.109851391689054,0.59073859796613,-0.293035488729222,"Baseline"
-0.115625558666438,0.596088587365122,-0.286927844337235,"Baseline"
-0.11577144933076,0.596223760717502,-0.286773528000128,"Baseline"
-0.101607468998038,0.585241167504474,-0.291989320320944,"Baseline"
-0.0853351149747161,0.572305084387533,-0.299435251949827,"Baseline"
-0.09023075091074,0.576841080741924,-0.294256876698992,"Baseline"
-0.103194527693079,0.588852522154698,-0.28054439854002,"Baseline"
-0.085791226757826,0.577009456196069,-0.279420387890275,"Baseline"
-0.0521948613216086,0.548022005363225,-0.305190850411169,"Baseline"
-0.0754453855019849,0.569564516754607,-0.28059753085923,"Baseline"
-0.0831167162746257,0.576672301907088,-0.272483155130901,"Baseline"
-0.0828038141072906,0.578523269212777,-0.263047923293399,"Baseline"
-0.0878470136041114,0.583195988922941,-0.257713462193629,"Baseline"
-0.0703680738929389,0.569141957422405,-0.266435663860894,"Baseline"
-0.0705796989444515,0.569338036231103,-0.266211816756344,"Baseline"
-0.070791022816195,0.569533835985078,-0.2659882882257,"Baseline"
-0.0733566275017046,0.574051851404888,-0.253508306157397,"Baseline"
-0.0696548680631032,0.57276291116253,-0.247657649409109,"Baseline"
-0.0575089434204199,0.565791008012655,-0.240972631439061,"Baseline"
-0.0588535899103832,0.567036875077961,-0.239550327126456,"Baseline"
